#lambda lambda_nm X1.0 X1.1 X1.2 X1.3 X1.5 X1.7 X2.0 X2.5 X3.0
0.39024801600000003 390.248016 491.975 529.227 564.937 599.151 663.261 721.924 800.593 910.09 996.765
0.390638459 390.638459 529.929 570.107 608.543 645.284 713.869 776.268 859.299 973.361 1062.17
0.391029293 391.029293 553.222 595.228 635.396 673.775 745.358 810.405 896.809 1015.15 1106.95
0.391420518 391.420518 553.962 596.089 636.428 675.024 747.186 812.991 900.823 1022.11 1117.17
0.39181213400000003 391.812134 526.761 566.834 605.236 642.015 710.882 773.821 858.081 975.017 1067.26
0.392204142 392.204142 482.318 518.969 554.08 587.691 650.582 707.998 784.746 890.982 974.513
0.392596542 392.596542 438.575 471.851 503.712 534.193 591.167 643.096 712.356 807.863 882.597
0.392989335 392.989335 373.876 402.149 429.204 455.074 503.378 547.338 605.844 686.227 748.83
0.393382521 393.382521 313.349 336.926 359.455 380.962 421.009 457.303 505.325 570.642 620.848
0.39377609999999996 393.7761 297.873 320.279 341.705 362.175 400.341 434.996 480.973 543.793 592.368
0.394170073 394.170073 370.722 398.827 425.718 451.423 499.399 543.027 601.022 680.535 742.295
0.394564441 394.564441 447.726 481.856 514.514 545.734 604.009 657.007 727.467 824.085 899.148
0.394959202 394.959202 475.012 511.341 546.182 579.574 642.16 699.433 776.221 883.039 967.565
0.395354359 395.354359 524.462 564.659 603.21 640.156 709.403 772.766 857.709 975.843 1069.3
0.395749911 395.749911 516.416 556.014 594.033 630.516 699.036 761.924 846.578 965.122 1059.71
0.396145859 396.145859 450.502 484.939 517.986 549.679 609.146 663.644 736.853 839.017 920.187
0.396542203 396.542203 379.349 408.215 435.91 462.463 512.265 557.875 619.086 704.371 771.993
0.396938944 396.938944 377.219 405.917 433.455 459.86 509.394 554.77 615.684 700.59 767.953
0.39733608099999995 397.336081 392.647 422.549 451.238 478.737 530.314 577.538 640.885 729.074 798.932
