# METIS entrance window (ZnSe), at ambient temperature
# received from Roy as METIS_CFO_entrance_window.csv on 25 May 2018
#
# wavelength     transmission       emissivity
#   [micron]  [dimensionless]  [dimensionless]
  17.9280874        0.1731913        0.7949630
  18.0475795        0.1602420        0.7989516
  18.1678680        0.1482132        0.8029603
  18.2889582        0.1272085        0.8182438
  18.4108555        0.1069144        0.8380138
  18.5335652        0.0896436        0.8569350
  18.6570929        0.0752907        0.8726792
  18.7814438        0.0638557        0.8887126
  18.9066236        0.0533376        0.9053092
  19.0326376        0.0437363        0.9271435
  19.1594916        0.0310512        0.9495043
  19.2871911        0.0182815        0.9639933
  19.4157417        0.0054267        0.9747482
  19.5451491        0.0000000        0.9856230
  19.6754190        0.0000000        0.9918873
  19.8065571        0.0000000        0.9947308
  19.9385693        0.0000000        0.9975824
  20.0714614        0.0000000        0.9990854
  20.2052392        0.0000000        0.9994201
  20.3399087        0.0000000        0.9997550
  20.4754757        0.0000000        0.9999210
  20.6119463        0.0000000        0.9999523
  20.7493265        0.0000000        0.9999835
  20.8876223        0.0000000        0.9999958
  21.0268399        0.0000000        0.9999971
  21.1669854        0.0000000        0.9999984
  21.3080649        0.0000000        0.9999996
  21.4500848        0.0000000        0.9999998
  21.5930513        0.0000000        0.9999999
  21.7369706        0.0000000        1.0000000
  21.8818491        0.0000000        1.0000000
  22.0276933        0.0000000        1.0000000
  22.1745096        0.0000000        1.0000000
  22.3223044        0.0000000        1.0000000
  22.4710842        0.0000000        1.0000000
  22.6208557        0.0000000        1.0000000
  22.7716254        0.0000000        1.0000000
  22.9234000        0.0000000        1.0000000
  23.0761862        0.0000000        1.0000000
  23.2299908        0.0000000        1.0000000
  23.3848204        0.0000000        1.0000000
  23.5406820        0.0000000        1.0000000
  23.6975824        0.0000000        1.0000000
  23.8555286        0.0000000        1.0000000
  24.0145275        0.0000000        1.0000000
  24.1745862        0.0000000        1.0000000
  24.3357116        0.0000000        1.0000000
  24.4979110        0.0000000        1.0000000
  24.6611914        0.0000000        1.0000000
  24.8255601        0.0000000        1.0000000
  24.9910244        0.0000000        1.0000000
  25.1575915        0.0000000        1.0000000
  25.3252687        0.0000000        1.0000000
  25.4940635        0.0000000        1.0000000
  25.6639834        0.0000000        1.0000000
  25.8350358        0.0000000        1.0000000
  26.0072283        0.0000000        1.0000000
  26.1805684        0.0000000        1.0000000
  26.3550639        0.0000000        1.0000000
  26.5307224        0.0000000        1.0000000
  26.7075517        0.0000000        1.0000000
  26.8855595        0.0000000        1.0000000
  27.0647538        0.0000000        1.0000000
  27.2451425        0.0000000        1.0000000
  27.4267334        0.0000000        1.0000000
  27.6095347        0.0000000        1.0000000
  27.7935543        0.0000000        1.0000000
  27.9788005        0.0000000        1.0000000
  28.1652813        0.0000000        1.0000000
  28.3530050        0.0000000        1.0000000
  28.5419800        0.0000000        1.0000000
  28.7322144        0.0000000        1.0000000
  28.9237168        0.0000000        1.0000000
  29.1164956        0.0000000        1.0000000
  29.3105592        0.0000000        1.0000000
  29.5059163        0.0000000        1.0000000
  29.7025755        0.0000000        1.0000000
  29.9005454        0.0000000        1.0000000
