#  "Lp" from Roys wish filter list, July 2018
# Wavelength  Throughput
#   [micron]  [dim-less]
      3.9174      0.9325
      3.9183      0.9328
      3.9191      0.9330
      3.9199      0.9333
      3.9207      0.9336
      3.9215      0.9338
      3.9223      0.9341
      3.9231      0.9344
      3.9240      0.9347
      3.9248      0.9349
      3.9256      0.9352
      3.9264      0.9355
      3.9272      0.9357
      3.9280      0.9360
      3.9288      0.9363
      3.9297      0.9366
      3.9305      0.9368
      3.9313      0.9371
      3.9321      0.9374
      3.9329      0.9376
      3.9337      0.9379
      3.9346      0.9382
      3.9354      0.9385
      3.9362      0.9387
      3.9370      0.9390
      3.9378      0.9393
      3.9386      0.9395
      3.9395      0.9398
      3.9403      0.9401
      3.9411      0.9404
      3.9419      0.9406
      3.9427      0.9409
      3.9436      0.9412
      3.9444      0.9415
      3.9452      0.9417
      3.9460      0.9420
      3.9468      0.9423
      3.9477      0.9426
      3.9485      0.9428
      3.9493      0.9431
      3.9501      0.9434
      3.9509      0.9436
      3.9518      0.9439
      3.9526      0.9442
      3.9534      0.9445
      3.9542      0.9447
      3.9550      0.9450
      3.9559      0.9453
      3.9567      0.9456
      3.9575      0.9458
      3.9583      0.9461
      3.9591      0.9464
      3.9600      0.9467
      3.9608      0.9469
      3.9616      0.9472
      3.9624      0.9475
      3.9633      0.9478
      3.9641      0.9480
      3.9649      0.9483
      3.9657      0.9486
      3.9665      0.9488
      3.9674      0.9491
      3.9682      0.9494
      3.9690      0.9497
      3.9698      0.9499
      3.9707      0.9498
      3.9715      0.9495
      3.9723      0.9492
      3.9731      0.9490
      3.9740      0.9487
      3.9748      0.9484
      3.9756      0.9481
      3.9764      0.9479
      3.9773      0.9476
      3.9781      0.9473
      3.9789      0.9470
      3.9797      0.9468
      3.9806      0.9465
      3.9814      0.9462
      3.9822      0.9459
      3.9830      0.9457
      3.9839      0.9454
      3.9847      0.9451
      3.9855      0.9448
      3.9864      0.9445
      3.9872      0.9443
      3.9880      0.9440
      3.9888      0.9437
      3.9897      0.9434
      3.9905      0.9432
      3.9913      0.9429
      3.9922      0.9426
      3.9930      0.9423
      3.9938      0.9421
      3.9946      0.9418
      3.9955      0.9415
      3.9963      0.9412
      3.9971      0.9410
      3.9980      0.9407
      3.9988      0.9404
      3.9996      0.9401
      4.0004      0.9399
      4.0013      0.9396
      4.0021      0.9393
      4.0029      0.9390
      4.0038      0.9387
      4.0046      0.9385
      4.0054      0.9382
      4.0063      0.9379
      4.0071      0.9376
      4.0079      0.9374
      4.0088      0.9371
      4.0096      0.9368
      4.0104      0.9365
      4.0113      0.9362
      4.0121      0.9360
      4.0129      0.9357
      4.0138      0.9354
      4.0146      0.9351
      4.0154      0.9349
      4.0163      0.9346
      4.0171      0.9343
      4.0179      0.9340
      4.0188      0.9337
      4.0196      0.9335
      4.0204      0.9332
      4.0213      0.9329
      4.0221      0.9326
      4.0229      0.9324
      4.0238      0.9321
      4.0246      0.9318
      4.0254      0.9315
      4.0263      0.9312
      4.0271      0.9310
      4.0279      0.9307
      4.0288      0.9304
      4.0296      0.9301
      4.0305      0.9295
      4.0313      0.9287
      4.0321      0.9279
      4.0330      0.9270
      4.0338      0.9262
      4.0346      0.9254
      4.0355      0.9245
      4.0363      0.9237
      4.0372      0.9228
      4.0380      0.9220
      4.0388      0.9212
      4.0397      0.9203
      4.0405      0.9195
      4.0413      0.9187
      4.0422      0.9178
      4.0430      0.9170
      4.0439      0.9161
      4.0447      0.9153
      4.0455      0.9145
      4.0464      0.9136
      4.0472      0.9128
      4.0481      0.9119
      4.0489      0.9111
      4.0497      0.9103
      4.0506      0.9094
      4.0514      0.9086
      4.0523      0.9077
      4.0531      0.9069
      4.0540      0.9060
      4.0548      0.9052
      4.0556      0.9044
      4.0565      0.9035
      4.0573      0.9027
      4.0582      0.9018
      4.0590      0.9010
      4.0598      0.9002
      4.0607      0.8993
      4.0615      0.8985
      4.0624      0.8976
      4.0632      0.8968
      4.0641      0.8959
      4.0649      0.8951
      4.0658      0.8942
      4.0666      0.8934
      4.0674      0.8926
      4.0683      0.8917
      4.0691      0.8909
      4.0700      0.8900
      4.0708      0.8834
      4.0717      0.8767
      4.0725      0.8699
      4.0734      0.8632
      4.0742      0.8564
      4.0750      0.8496
      4.0759      0.8429
      4.0767      0.8361
      4.0776      0.8293
      4.0784      0.8225
      4.0793      0.8158
      4.0801      0.8090
      4.0810      0.8022
      4.0818      0.7954
      4.0827      0.7887
      4.0835      0.7819
      4.0844      0.7751
      4.0852      0.7683
      4.0861      0.7615
      4.0869      0.7547
      4.0878      0.7479
      4.0886      0.7412
